2312.06,3,1.1166637,0.209,4.8737632,0.4745245,0.9996,5.2395,3,20,26.78590835,0.5,0.1,0.5,6.26869,0.5,0.94687359,0.125,0.121,0.245,0.25,4.2718557,0.37260144,0.00593303,0.02,0.00217242,5.2395,3.30468035,5,7.233,3
2312.06,3,0.209,4.8737632,0.4745245,0.9996,3.4965,3,20,26.78590835,0.5,0.1,0.5,6.26869,0.5,0.36,0.125,0.121,0.245,0.25,4.2718557,0.37260144,0.00593303,0.02,0.00217242,5.2395,3.30468035,5,7.233,3,0.5
2312.06,4.3213,3,1.42318382,0.209,4.8737632,0.4745245,1.743,0.9996,3.4965,3,20,26.78590835,0.5,0.1,0.5,0.125,0.121,0.245,0.94687359,0.25,4.2718557,0.37260144,0.00593303,0.02,0.00217242,5.2395,3.30468035,5,7.233,3
2312.06,4.3213,3,4.8737632,0.4745245,1.743,0.9996,3.4965,3,20,26.78590835,0.5,0.499,0.1,0.5,6.26869,1.19557,0.125,0.121,0.245,0.94687359,0.25,4.2718557,0.37260144,0.00593303,0.02,0.00217242,5.2395,3.30468035,5,7.233
2312.06,1.42318382,4.3213,3,4.8737632,0.4745245,1.743,0.9996,3.4965,3,20,26.78590835,0.5,0.1,0.5,6.26869,1.19557,0.25,0.121,0.245,0.94687359,0.25,4.2718557,0.37260144,0.00593303,0.02,5.2395,3.30468035,5,7.233,3
2312.06,1.42318382,4.3213,3,4.8737632,0.4745245,1.743,0.9996,3.4965,3,20,26.78590835,0.5,0.1,0.5,6.26869,1.19557,0.25,0.121,0.245,0.25,4.2718557,0.37260144,0.00593303,0.02,5.2395,3.30468035,5,7.233,3,0.5
2312.06,4.3119,1.42318382,3,4.8737632,0.4745245,1.743,0.9996,3.4965,3,20,26.78590835,0.5,0.1,0.5,6.26869,1.19557,0.25,0.121,0.245,0.94687359,0.25,4.2718557,0.37260144,0.00593303,0.00216966,0.02,5.2395,3.30468035,5,7.233
2312.06,4.3119,1.42318382,3,4.8737632,0.4745245,1.743,0.9996,3.4965,3,20,26.78590835,0.5,0.1,0.5,6.26869,1.19557,0.25,0.121,0.245,0.94687359,0.25,4.2718557,0.37260144,0.00593303,0.00216966,0.02,5.2395,3.30468035,5,7.233
2312.06,4.3119,1.42318382,3,4.8737632,0.4745245,1.743,0.9996,3.4965,3,20,26.78590835,0.5,0.1,0.5,6.26869,1.19557,0.25,0.121,0.245,0.94687359,0.25,4.2718557,0.37260144,0.00593303,0.00216966,0.02,5.2395,3.30468035,5,0.24
2312.06,4.3119,1.42318382,3,4.8737632,0.4745245,1.743,0.9996,3.4965,20,26.78590835,0.5,0.1,0.5,6.26869,0.36,1.19557,0.25,0.245,0.94687359,0.25,4.2718557,0.37260144,0.00593303,0.00216966,0.02,5.2395,3.30468035,5,0.24,6.993
